CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2009-12,955.0,337.0,319.0,406.0,363.0,343.0,360.0,327.0,321.0,346.0,403.0,473.0,237.0
2010-01,383.0,79.0,119.0,117.0,101.0,115.0,99.0,88.0,107.0,122.0,116.0,38.0,
2010-02,376.0,89.0,84.0,109.0,92.0,75.0,72.0,107.0,95.0,103.0,27.0,,
2010-03,443.0,84.0,102.0,107.0,103.0,90.0,109.0,134.0,122.0,35.0,,,
2010-04,294.0,57.0,57.0,48.0,54.0,66.0,81.0,77.0,20.0,,,,
2010-05,254.0,40.0,43.0,44.0,45.0,65.0,54.0,20.0,,,,,
2010-06,270.0,47.0,51.0,55.0,62.0,77.0,18.0,,,,,,
2010-07,186.0,29.0,34.0,55.0,54.0,19.0,,,,,,,
2010-08,162.0,33.0,48.0,52.0,19.0,,,,,,,,
2010-09,243.0,55.0,57.0,24.0,,,,,,,,,
2010-10,377.0,97.0,35.0,,,,,,,,,,
2010-11,325.0,35.0,,,,,,,,,,,
2010-12,46.0,,,,,,,,,,,,
