CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2009-12,100.0,35.29,33.4,42.51,38.01,35.92,37.7,34.24,33.61,36.23,42.2,49.53,24.82
2010-01,100.0,20.63,31.07,30.55,26.37,30.03,25.85,22.98,27.94,31.85,30.29,9.92,
2010-02,100.0,23.67,22.34,28.99,24.47,19.95,19.15,28.46,25.27,27.39,7.18,,
2010-03,100.0,18.96,23.02,24.15,23.25,20.32,24.6,30.25,27.54,7.9,,,
2010-04,100.0,19.39,19.39,16.33,18.37,22.45,27.55,26.19,6.8,,,,
2010-05,100.0,15.75,16.93,17.32,17.72,25.59,21.26,7.87,,,,,
2010-06,100.0,17.41,18.89,20.37,22.96,28.52,6.67,,,,,,
2010-07,100.0,15.59,18.28,29.57,29.03,10.22,,,,,,,
2010-08,100.0,20.37,29.63,32.1,11.73,,,,,,,,
2010-09,100.0,22.63,23.46,9.88,,,,,,,,,
2010-10,100.0,25.73,9.28,,,,,,,,,,
2010-11,100.0,10.77,,,,,,,,,,,
2010-12,100.0,,,,,,,,,,,,
