Country,Customers,Orders,Quantity_Sold,Total_Revenue,Revenue_Percentage
United Kingdom,3971,20439,4881837,8812311.833,85.79
EIRE,5,348,193048,380909.57,3.71
Netherlands,22,135,183679,268784.35,2.62
Germany,67,347,108633,202025.391,1.97
France,47,241,163029,147103.14,1.43
Sweden,16,69,52555,53501.99,0.52
Denmark,9,26,229690,50906.85,0.5
Spain,25,66,22841,47568.65,0.46
Switzerland,14,40,22255,43921.39,0.43
Australia,15,40,20189,31446.8,0.31
Channel Islands,11,30,11991,24546.32,0.24
Belgium,17,52,12069,24537.58,0.24
Portugal,18,41,12148,24265.0,0.24
Norway,5,11,7867,23944.18,0.23
Italy,11,28,7364,15052.73,0.15
Greece,4,13,6167,14335.67,0.14
Austria,10,28,6697,13414.33,0.13
Cyprus,7,21,4610,11347.1,0.11
Japan,6,16,7311,9722.02,0.09
United Arab Emirates,4,13,6339,9195.35,0.09
Hong Kong,0,4,2308,8202.52,0.08
Finland,7,16,3671,7379.46,0.07
Unspecified,4,11,3434,6186.22,0.06
Malta,1,4,1549,5373.5,0.05
Lithuania,1,6,2306,4892.68,0.05
USA,6,15,2806,4786.47,0.05
Singapore,1,4,1753,4037.77,0.04
RSA,1,3,1619,3802.01,0.04
Poland,2,10,2144,3567.8,0.03
Israel,2,2,1132,3199.4,0.03
Thailand,1,2,2552,3070.54,0.03
Bahrain,2,7,1025,2355.65,0.02
Iceland,1,2,828,1323.32,0.01
Bermuda,0,1,2798,1253.1399999999999,0.01
Canada,1,2,894,1216.66,0.01
Korea,2,2,700,1118.51,0.01
West Indies,1,1,395,536.41,0.01
Brazil,1,1,189,268.27,0.0
Lebanon,0,1,72,211.7,0.0
Nigeria,1,2,103,140.39000000000001,0.0
