Country,Sales Amount
United Kingdom,8812311.833
EIRE,380909.57
Netherlands,268784.35
Germany,202025.391
France,147103.14
Sweden,53501.99
Denmark,50906.85
Spain,47568.65
Switzerland,43921.39
Australia,31446.8
Channel Islands,24546.32
Belgium,24537.58
Portugal,24265.0
Norway,23944.18
Italy,15052.73
Greece,14335.67
Austria,13414.33
Cyprus,11347.1
Japan,9722.02
United Arab Emirates,9195.35
Hong Kong,8202.52
Finland,7379.46
Unspecified,6186.22
Malta,5373.5
Lithuania,4892.68
USA,4786.47
Singapore,4037.77
RSA,3802.01
Poland,3567.8
Israel,3199.4
Thailand,3070.54
Bahrain,2355.65
Iceland,1323.32
Bermuda,1253.1399999999999
Canada,1216.66
Korea,1118.51
West Indies,536.41
Brazil,268.27
Lebanon,211.7
Nigeria,140.39000000000001
