Customer ID,Recency,Frequency,Monetary,Customer_Segment,Average_Order_Value
12346.0,165,11,372.86,Potential Loyalists,33.89636363636364
12347.0,3,2,1323.32,Loyal Customers,661.66
12348.0,74,1,222.16,Lost / Hibernating,222.16
12349.0,43,3,2671.14,Loyal Customers,890.38
12351.0,11,1,300.93,Potential Loyalists,300.93
12352.0,11,2,343.8,Potential Loyalists,171.9
12353.0,44,1,317.76,At Risk,317.76
12355.0,203,1,488.21000000000004,Lost / Hibernating,488.21000000000004
12356.0,16,3,3560.3,Loyal Customers,1186.7666666666667
12357.0,24,2,12079.99,Loyal Customers,6039.995
12358.0,11,3,2719.01,VIP / Champions,906.3366666666667
12359.0,61,6,2563.36,Loyal Customers,427.2266666666667
12360.0,15,5,1590.83,VIP / Champions,318.166
12361.0,98,3,321.35,Potential Loyalists,107.11666666666667
12362.0,374,1,130.0,Lost / Hibernating,130.0
12366.0,269,1,500.24,At Risk,500.24
12368.0,264,1,917.6999999999999,At Risk,917.6999999999999
12369.0,49,3,1791.15,Loyal Customers,597.0500000000001
12370.0,260,3,774.62,Potential Loyalists,258.20666666666665
12371.0,45,3,2179.42,Loyal Customers,726.4733333333334
12373.0,260,2,763.0500000000001,At Risk,381.52500000000003
12374.0,57,3,2246.29,Loyal Customers,748.7633333333333
12376.0,25,2,503.15,Potential Loyalists,251.575
12377.0,17,2,1798.2,Loyal Customers,899.1
12378.0,198,1,1407.7,At Risk,1407.7
12379.0,58,2,767.98,Potential Loyalists,383.99
12380.0,101,7,6951.49,Loyal Customers,993.0699999999999
12385.0,15,1,1938.4,Loyal Customers,1938.4
12386.0,2,1,258.9,Potential Loyalists,258.9
12387.0,51,1,143.94,At Risk,143.94
12388.0,81,2,1120.45,Potential Loyalists,560.225
12389.0,38,3,1433.33,Loyal Customers,477.77666666666664
12391.0,100,5,2285.18,Loyal Customers,457.03599999999994
12392.0,227,1,234.75000000000003,Lost / Hibernating,234.75000000000003
12393.0,18,2,816.85,Potential Loyalists,408.425
12395.0,7,4,2048.64,VIP / Champions,512.16
12396.0,310,1,931.43,At Risk,931.43
12399.0,21,3,853.65,Loyal Customers,284.55
12400.0,50,1,205.25,At Risk,205.25
12402.0,28,5,1031.3,Loyal Customers,206.26
12403.0,157,1,591.6600000000001,At Risk,591.6600000000001
12404.0,318,1,63.24,Lost / Hibernating,63.24
12406.0,35,3,2975.06,Loyal Customers,991.6866666666666
12408.0,21,3,1452.22,Loyal Customers,484.0733333333333
12409.0,56,4,12346.619999999999,Loyal Customers,3086.6549999999997
12410.0,138,1,320.38,At Risk,320.38
12411.0,45,1,346.9,At Risk,346.9
12412.0,38,3,1370.05,Loyal Customers,456.68333333333334
12413.0,38,1,241.35,At Risk,241.35
12414.0,99,3,390.0,Potential Loyalists,130.0
12415.0,11,7,19543.84,VIP / Champions,2791.977142857143
12416.0,292,1,202.56,Lost / Hibernating,202.56
12417.0,46,11,3148.31,VIP / Champions,286.21
12418.0,49,3,1352.62,Loyal Customers,450.8733333333333
12419.0,21,2,503.01,Potential Loyalists,251.505
12421.0,51,2,291.56,Potential Loyalists,145.78
12422.0,30,14,4428.24,VIP / Champions,316.30285714285714
