Customer ID,Customer_Segment,Order_Count,Customer_Type
12346.0,Potential Loyalists,11,Repeat Customer
12347.0,Loyal Customers,2,Repeat Customer
12348.0,Lost / Hibernating,1,One-Time Customer
12349.0,Loyal Customers,3,Repeat Customer
12351.0,Potential Loyalists,1,One-Time Customer
12352.0,Potential Loyalists,2,Repeat Customer
12353.0,At Risk,1,One-Time Customer
12355.0,Lost / Hibernating,1,One-Time Customer
12356.0,Loyal Customers,3,Repeat Customer
12357.0,Loyal Customers,2,Repeat Customer
12358.0,VIP / Champions,3,Repeat Customer
12359.0,Loyal Customers,6,Repeat Customer
12360.0,VIP / Champions,5,Repeat Customer
12361.0,Potential Loyalists,3,Repeat Customer
12362.0,Lost / Hibernating,1,One-Time Customer
12366.0,At Risk,1,One-Time Customer
12368.0,At Risk,1,One-Time Customer
12369.0,Loyal Customers,3,Repeat Customer
12370.0,Potential Loyalists,3,Repeat Customer
12371.0,Loyal Customers,3,Repeat Customer
12373.0,At Risk,2,Repeat Customer
12374.0,Loyal Customers,3,Repeat Customer
12376.0,Potential Loyalists,2,Repeat Customer
12377.0,Loyal Customers,2,Repeat Customer
12378.0,At Risk,1,One-Time Customer
12379.0,Potential Loyalists,2,Repeat Customer
12380.0,Loyal Customers,7,Repeat Customer
12385.0,Loyal Customers,1,One-Time Customer
12386.0,Potential Loyalists,1,One-Time Customer
12387.0,At Risk,1,One-Time Customer
12388.0,Potential Loyalists,2,Repeat Customer
12389.0,Loyal Customers,3,Repeat Customer
12391.0,Loyal Customers,5,Repeat Customer
12392.0,Lost / Hibernating,1,One-Time Customer
12393.0,Potential Loyalists,2,Repeat Customer
12395.0,VIP / Champions,4,Repeat Customer
12396.0,At Risk,1,One-Time Customer
12399.0,Loyal Customers,3,Repeat Customer
12400.0,At Risk,1,One-Time Customer
12402.0,Loyal Customers,5,Repeat Customer
12403.0,At Risk,1,One-Time Customer
12404.0,Lost / Hibernating,1,One-Time Customer
12406.0,Loyal Customers,3,Repeat Customer
12408.0,Loyal Customers,3,Repeat Customer
12409.0,Loyal Customers,4,Repeat Customer
12410.0,At Risk,1,One-Time Customer
12411.0,At Risk,1,One-Time Customer
12412.0,Loyal Customers,3,Repeat Customer
12413.0,At Risk,1,One-Time Customer
12414.0,Potential Loyalists,3,Repeat Customer
12415.0,VIP / Champions,7,Repeat Customer
12416.0,Lost / Hibernating,1,One-Time Customer
12417.0,VIP / Champions,11,Repeat Customer
12418.0,Loyal Customers,3,Repeat Customer
12419.0,Potential Loyalists,2,Repeat Customer
12421.0,Potential Loyalists,2,Repeat Customer
12422.0,VIP / Champions,14,Repeat Customer
12423.0,Potential Loyalists,2,Repeat Customer
12424.0,Potential Loyalists,2,Repeat Customer
12425.0,At Risk,1,One-Time Customer
12426.0,At Risk,1,One-Time Customer
12427.0,Potential Loyalists,1,One-Time Customer
12429.0,VIP / Champions,5,Repeat Customer
12431.0,VIP / Champions,13,Repeat Customer
12433.0,VIP / Champions,5,Repeat Customer
12434.0,Potential Loyalists,1,One-Time Customer
12435.0,VIP / Champions,4,Repeat Customer
12437.0,VIP / Champions,21,Repeat Customer
12439.0,Potential Loyalists,2,Repeat Customer
12440.0,Potential Loyalists,2,Repeat Customer
12441.0,Potential Loyalists,1,One-Time Customer
12443.0,Lost / Hibernating,1,One-Time Customer
12445.0,At Risk,1,One-Time Customer
12449.0,Potential Loyalists,2,Repeat Customer
12450.0,Potential Loyalists,3,Repeat Customer
12451.0,Loyal Customers,3,Repeat Customer
12454.0,VIP / Champions,4,Repeat Customer
12455.0,Loyal Customers,4,Repeat Customer
12457.0,Potential Loyalists,1,One-Time Customer
12458.0,Potential Loyalists,2,Repeat Customer
12459.0,Lost / Hibernating,1,One-Time Customer
12460.0,At Risk,1,One-Time Customer
12466.0,Lost / Hibernating,1,One-Time Customer
12467.0,At Risk,1,One-Time Customer
12468.0,Loyal Customers,3,Repeat Customer
12469.0,Potential Loyalists,2,Repeat Customer
12470.0,Lost / Hibernating,1,One-Time Customer
12471.0,VIP / Champions,49,Repeat Customer
12472.0,VIP / Champions,13,Repeat Customer
12474.0,VIP / Champions,13,Repeat Customer
12475.0,At Risk,1,One-Time Customer
12476.0,VIP / Champions,12,Repeat Customer
12477.0,Loyal Customers,3,Repeat Customer
12480.0,Loyal Customers,3,Repeat Customer
12481.0,VIP / Champions,6,Repeat Customer
12482.0,Loyal Customers,29,Repeat Customer
12483.0,VIP / Champions,11,Repeat Customer
12484.0,Loyal Customers,6,Repeat Customer
12485.0,At Risk,1,One-Time Customer
12486.0,Potential Loyalists,1,One-Time Customer
12487.0,Lost / Hibernating,1,One-Time Customer
12490.0,VIP / Champions,11,Repeat Customer
12492.0,At Risk,1,One-Time Customer
12494.0,Loyal Customers,3,Repeat Customer
12495.0,Lost / Hibernating,1,One-Time Customer
12496.0,Lost / Hibernating,2,Repeat Customer
12497.0,Loyal Customers,2,Repeat Customer
12499.0,Lost / Hibernating,1,One-Time Customer
12500.0,Loyal Customers,8,Repeat Customer
12503.0,At Risk,1,One-Time Customer
12504.0,Potential Loyalists,2,Repeat Customer
12505.0,Potential Loyalists,1,One-Time Customer
12507.0,At Risk,1,One-Time Customer
12510.0,Loyal Customers,7,Repeat Customer
12511.0,Potential Loyalists,1,One-Time Customer
12514.0,At Risk,1,One-Time Customer
12516.0,Potential Loyalists,2,Repeat Customer
12519.0,At Risk,1,One-Time Customer
12523.0,VIP / Champions,12,Repeat Customer
12524.0,VIP / Champions,9,Repeat Customer
12525.0,Potential Loyalists,3,Repeat Customer
12527.0,At Risk,2,Repeat Customer
12529.0,At Risk,1,One-Time Customer
12530.0,Loyal Customers,5,Repeat Customer
12531.0,At Risk,1,One-Time Customer
12533.0,Potential Loyalists,2,Repeat Customer
12537.0,Potential Loyalists,1,One-Time Customer
12538.0,Potential Loyalists,1,One-Time Customer
12539.0,Loyal Customers,3,Repeat Customer
12540.0,VIP / Champions,16,Repeat Customer
12542.0,At Risk,2,Repeat Customer
12543.0,At Risk,1,One-Time Customer
12547.0,Lost / Hibernating,1,One-Time Customer
12549.0,Potential Loyalists,6,Repeat Customer
12553.0,Potential Loyalists,2,Repeat Customer
12554.0,At Risk,1,One-Time Customer
12555.0,Lost / Hibernating,1,One-Time Customer
12557.0,VIP / Champions,4,Repeat Customer
12562.0,Loyal Customers,2,Repeat Customer
12563.0,At Risk,1,One-Time Customer
12567.0,VIP / Champions,7,Repeat Customer
12568.0,Lost / Hibernating,1,One-Time Customer
12570.0,Lost / Hibernating,1,One-Time Customer
12573.0,Loyal Customers,4,Repeat Customer
12575.0,Potential Loyalists,2,Repeat Customer
12576.0,Loyal Customers,3,Repeat Customer
12577.0,Loyal Customers,5,Repeat Customer
12578.0,Loyal Customers,2,Repeat Customer
12580.0,At Risk,1,One-Time Customer
12582.0,Potential Loyalists,2,Repeat Customer
12583.0,VIP / Champions,13,Repeat Customer
12586.0,Loyal Customers,3,Repeat Customer
12588.0,Loyal Customers,3,Repeat Customer
12589.0,Loyal Customers,6,Repeat Customer
12591.0,Potential Loyalists,2,Repeat Customer
12592.0,Loyal Customers,3,Repeat Customer
12594.0,VIP / Champions,5,Repeat Customer
12595.0,At Risk,1,One-Time Customer
12598.0,Potential Loyalists,3,Repeat Customer
12599.0,Loyal Customers,6,Repeat Customer
12600.0,VIP / Champions,12,Repeat Customer
12601.0,At Risk,1,One-Time Customer
12605.0,VIP / Champions,4,Repeat Customer
12606.0,Lost / Hibernating,1,One-Time Customer
12608.0,At Risk,1,One-Time Customer
12609.0,VIP / Champions,6,Repeat Customer
12613.0,VIP / Champions,5,Repeat Customer
12615.0,Loyal Customers,4,Repeat Customer
12616.0,Potential Loyalists,1,One-Time Customer
12619.0,Lost / Hibernating,1,One-Time Customer
12621.0,VIP / Champions,16,Repeat Customer
12623.0,Loyal Customers,6,Repeat Customer
12625.0,Potential Loyalists,2,Repeat Customer
12629.0,Loyal Customers,2,Repeat Customer
12631.0,Loyal Customers,5,Repeat Customer
12632.0,Potential Loyalists,2,Repeat Customer
12633.0,Loyal Customers,3,Repeat Customer
12634.0,At Risk,2,Repeat Customer
12635.0,Loyal Customers,2,Repeat Customer
12636.0,Lost / Hibernating,1,One-Time Customer
12637.0,VIP / Champions,4,Repeat Customer
12638.0,Lost / Hibernating,1,One-Time Customer
12639.0,Potential Loyalists,2,Repeat Customer
12643.0,VIP / Champions,6,Repeat Customer
12644.0,Loyal Customers,3,Repeat Customer
12645.0,Loyal Customers,4,Repeat Customer
12647.0,VIP / Champions,27,Repeat Customer
12648.0,Potential Loyalists,3,Repeat Customer
12649.0,Loyal Customers,5,Repeat Customer
12651.0,Loyal Customers,3,Repeat Customer
12652.0,At Risk,1,One-Time Customer
12653.0,Potential Loyalists,1,One-Time Customer
12655.0,At Risk,1,One-Time Customer
12656.0,Loyal Customers,3,Repeat Customer
12661.0,Lost / Hibernating,1,One-Time Customer
12662.0,VIP / Champions,10,Repeat Customer
12663.0,Lost / Hibernating,2,Repeat Customer
12664.0,Potential Loyalists,2,Repeat Customer
12665.0,Potential Loyalists,2,Repeat Customer
12666.0,Potential Loyalists,1,One-Time Customer
12668.0,VIP / Champions,6,Repeat Customer
12670.0,Potential Loyalists,2,Repeat Customer
12671.0,Potential Loyalists,1,One-Time Customer
12672.0,Lost / Hibernating,1,One-Time Customer
12673.0,Potential Loyalists,1,One-Time Customer
12675.0,At Risk,2,Repeat Customer
12676.0,Loyal Customers,5,Repeat Customer
12677.0,At Risk,2,Repeat Customer
12678.0,VIP / Champions,9,Repeat Customer
12681.0,VIP / Champions,24,Repeat Customer
12682.0,VIP / Champions,23,Repeat Customer
12683.0,VIP / Champions,8,Repeat Customer
12686.0,Potential Loyalists,1,One-Time Customer
12687.0,Potential Loyalists,2,Repeat Customer
12691.0,At Risk,1,One-Time Customer
12692.0,Lost / Hibernating,1,One-Time Customer
12693.0,Loyal Customers,3,Repeat Customer
12694.0,Potential Loyalists,1,One-Time Customer
12695.0,Potential Loyalists,3,Repeat Customer
12696.0,Potential Loyalists,2,Repeat Customer
12698.0,Lost / Hibernating,1,One-Time Customer
