YearMonth,Orders,Customers,Quantity_Sold,Total_Revenue
2009-12,1839,955,444341,822483.95
2010-01,1205,720,395234,651155.112
2010-02,1281,774,391860,551504.726
2010-03,1770,1057,530314,830915.261
2010-04,1512,942,385747,678875.252
2010-05,1642,966,424009,657705.5
2010-06,1719,1041,413723,749537.31
2010-07,1584,928,358590,648810.27
2010-08,1511,911,521762,695251.91
2010-09,1911,1145,592615,921696.991
2010-10,2370,1497,622277,1161902.22
2010-11,2868,1607,730417,1464293.142
2010-12,888,573,181708,437631.02
