YearMonth,Orders,Customers,Quantity_Sold,Total_Revenue,Revenue_Growth_%
2009-12,1839,955,444341,822483.95,
2010-01,1205,720,395234,651155.112,-20.83
2010-02,1281,774,391860,551504.726,-15.3
2010-03,1770,1057,530314,830915.261,50.66
2010-04,1512,942,385747,678875.252,-18.3
2010-05,1642,966,424009,657705.5,-3.12
2010-06,1719,1041,413723,749537.31,13.96
2010-07,1584,928,358590,648810.27,-13.44
2010-08,1511,911,521762,695251.91,7.16
2010-09,1911,1145,592615,921696.991,32.57
2010-10,2370,1497,622277,1161902.22,26.06
2010-11,2868,1607,730417,1464293.142,26.03
2010-12,888,573,181708,437631.02,-70.11
