Invoice,Order_Revenue,Items,Customer
489434,505.3,166,13085.0
489435,145.79999999999998,60,13085.0
489436,630.33,193,13078.0
489437,310.75,145,15362.0
489438,2286.24,826,18102.0
489439,426.3,219,12682.0
489440,50.4,16,18087.0
489441,344.34000000000003,102,18087.0
489442,382.37,275,13635.0
489443,285.06,120,14110.0
489444,141.0,1,12636.0
489445,308.44,280,17519.0
489446,996.1,382,13758.0
489447,130.0,1,12362.0
489448,570.24,192,15413.0
489450,196.10000000000002,100,16321.0
489460,485.79,977,16167.0
489461,589.33,379,17865.0
489462,148.3,38,17592.0
489465,1197.8000000000002,408,13767.0
489488,251.1,80,17238.0
489505,255.5,64,15712.0
489514,823.02,326,15311.0
489517,250.06,114,16329.0
489519,696.73,247,17700.0
489520,733.63,293,14911.0
489522,700.31,409,15998.0
489523,1160.0,800,12931.0
489525,1.4,2,
489526,929.92,484,12533.0
489529,212.63,187,17984.0
489531,145.0,54,14871.0
489532,304.53000000000003,353,13394.0
489533,181.5,60,16011.0
489536,341.02,199,16393.0
489537,633.33,250,14040.0
489539,2887.14,1598,15061.0
489540,537.96,188,12913.0
489542,387.6,264,15061.0
489544,281.82,226,14341.0
489545,124.95,92,17804.0
489546,584.5,212,14156.0
489547,641.45,595,13599.0
489548,382.40999999999997,249,
489550,482.3,232,14156.0
489552,278.61,129,17063.0
489556,377.15,174,15719.0
489557,603.94,442,12490.0
489558,291.58000000000004,154,15793.0
489559,128.60000000000002,26,17056.0
489560,859.0999999999999,1585,13526.0
489561,246.86,273,14654.0
489562,229.6,107,17998.0
489564,322.9,326,13526.0
489566,218.54999999999998,35,17742.0
489567,307.8,150,15326.0
489569,282.28,312,14478.0
489571,156.71,50,15967.0
489572,507.49,273,17611.0
489573,580.02,306,15051.0
489574,544.73,309,13097.0
489575,367.28000000000003,300,13590.0
489576,319.66,178,15984.0
489579,219.82,177,16887.0
489580,261.0,276,12921.0
489581,124.83000000000001,137,15945.0
489582,293.95,125,14543.0
489584,21.95,1,18037.0
489585,105.85,67,15662.0
489586,263.42,98,15380.0
489590,362.78000000000003,87,13110.0
489593,407.97,93,12836.0
489594,319.38,180,15005.0
489596,17.0,2,
489597,5097.82,972,
489598,822.37,575,16620.0
489599,2454.68,1403,12758.0
489600,420.29,39,
489601,337.2,36,
489602,440.07,42,
489603,311.55,29,
489604,383.87,40,
489606,2.1,1,17961.0
489607,446.98,52,
489608,9.75,5,
489609,553.78,51,
489611,2.95,1,15601.0
489612,629.78,63,
489613,12.75,1,13585.0
489614,408.85,42,
489615,499.36,47,
489616,409.27,50,
489617,198.0,42,13442.0
489618,6.35,1,
489619,19.5,10,
489634,17.4,12,13381.0
489635,352.85,173,16763.0
489637,535.9,157,17243.0
489638,7.5,2,
489639,31.200000000000003,48,14865.0
489640,329.90999999999997,600,17345.0
489641,622.1,462,13819.0
489642,12.850000000000001,3,
489644,857.5400000000001,297,15808.0
489645,261.74,97,17191.0
489650,173.1,90,13748.0
489652,294.14,146,15265.0
489653,60.78,26,
489654,222.12,115,15750.0
489656,1237.3,401,17428.0
489657,55.2,32,17428.0
489658,828.09,249,15485.0
489659,0.0,230,
489661,23.48,34,17246.0
489662,73.75,25,15485.0
489664,374.43,57,14061.0
489665,252.3,118,14108.0
489666,263.09000000000003,203,13648.0
489667,538.46,221,16563.0
489668,378.12,198,16701.0
489669,397.20000000000005,168,12842.0
489670,114.60000000000001,28,14302.0
489671,740.3,966,14135.0
489672,772.65,421,14831.0
489673,61.099999999999994,34,14831.0
489674,261.3,266,15602.0
489675,4939.22,1930,13777.0
489676,1210.8,840,13777.0
489677,192.0,48,14000.0
489678,189.29999999999998,113,16823.0
489679,795.98,280,16163.0
489680,45.0,36,17193.0
489681,89.59,183,17998.0
489682,125.73,303,15759.0
489683,1317.97,721,16131.0
489684,266.6,116,14560.0
489687,221.53,113,17087.0
489688,299.70000000000005,54,14894.0
489695,306.95,121,16202.0
489699,401.7,238,16700.0
489702,3108.64,2020,17511.0
489705,17.0,4,16700.0
489723,2052.12,1339,14299.0
489725,216.0,300,17949.0
489726,750.0,200,17949.0
489727,900.0,450,17949.0
489728,180.45,349,14799.0
489733,168.0,48,15311.0
489743,538.77,320,16550.0
489748,754.2,84,12980.0
489764,223.1,82,14425.0
489765,271.74,88,15353.0
489766,124.78,86,17818.0
489780,159.98000000000002,90,13654.0
489781,0.0,17,
489782,228.36,147,17189.0
489783,162.04,152,13269.0
489784,40.8,48,13269.0
489785,333.09000000000003,248,14653.0
489786,212.66,197,17019.0
489787,293.19,116,15542.0
489788,119.16,38,13564.0
489789,80.4,24,15833.0
489790,131.12,88,16467.0
489791,216.59,87,15542.0
489792,923.79,165,14527.0
489793,260.36,124,17476.0
489794,58.2,55,15287.0
489795,935.01,287,14440.0
489796,311.5,268,15680.0
489797,196.88,141,15581.0
489798,296.69,93,13740.0
489800,382.57,502,17768.0
489801,128.48000000000002,144,12948.0
489802,174.52,156,15581.0
489804,251.17000000000002,185,14667.0
489805,454.35,227,17377.0
489807,180.13,241,15581.0
489808,109.84,82,14467.0
489809,112.5,68,13457.0
489810,493.25,165,18108.0
489811,634.29,515,16210.0
489812,597.6899999999999,85,17377.0
489814,811.53,503,14669.0
489815,110.05,35,17909.0
489816,284.55,258,16086.0
489817,340.2,132,16711.0
489818,294.3,102,16233.0
489819,618.4300000000001,465,14739.0
489822,371.27000000000004,103,14204.0
489823,87.30000000000001,42,17606.0
489824,176.88,127,16797.0
489825,174.1,106,16126.0
489826,85.95,17,17867.0
