StockCode,Description,Total_Quantity,Total_Revenue,Average_Price,Transactions
10002,INFLATABLE POLITICAL GLOBE ,7971,6333.76,0.9677142857142856,310
10080,GROOVY CACTUS INFLATABLE,12,10.2,0.85,5
10109,BENDY COLOUR PENCILS,4,1.68,0.42,1
10120,DOGGY RUBBER,487,105.57,0.2568085106382979,47
10125,MINI FUNKY DESIGN TAPES,853,761.66,1.0129411764705882,81
10133,COLOURING PENCILS BROWN TUBE,1015,863.37,0.9427722772277227,101
10134,COLOURING PENCILS BROWN TUBE,625,721.13,1.2907407407407407,52
10135,COLOURING PENCILS BROWN TUBE,2042,2435.21,1.4206875,159
10138,ASSORTED COLOUR JUMBO PEN,261,111.22,0.4776190476190476,21
11001,ASSTD DESIGN RACING CAR PEN,3267,5115.46,1.8749659863945578,144
15030,FAN BLACK FRAME ,111,32.19,0.29,14
15034,PAPER POCKET TRAVELING FAN ,3591,582.4300000000001,0.3453225806451613,123
15036,ASSORTED COLOURS SILK FAN,20659,14471.710000000001,0.9114226804123712,485
15039,SANDALWOOD FAN,3027,2381.39,1.059277108433735,164
16008,SMALL FOLDING SCISSOR(POINTED EDGE),251,62.75,0.25,16
16010,FOLDING CAMPING SCISSOR W/KNIF & S,14,1.68,0.12,2
16011, ANIMAL STICKERS,385,80.85,0.21,12
16011,ANIMAL STICKERS,1724,360.84,0.20910714285714285,56
16012,FOOD/DRINK SPONGE STICKERS,946,198.66,0.21,29
16012,FOOD/DRINK SPUNGE STICKERS,759,158.19,0.20749999999999996,20
16014,SMALL CHINESE STYLE SCISSOR,17042,5503.64,0.3874418604651163,43
16015,MEDIUM CHINESE STYLE SCISSOR,911,421.9,0.4866666666666667,42
16016,LARGE CHINESE STYLE SCISSOR,1065,837.65,0.8326666666666667,45
16033,MINI HIGHLIGHTER PENS,14281,1443.7199999999998,0.11608695652173913,46
16043,POP ART PUSH DOWN RUBBER ,2047,168.54,0.35454545454545455,11
16044,POP-ART FLUORESCENT PENS,6193,389.22,0.3,3
16045,POPART WOODEN PENCILS ASST,412,49.44,0.12,6
16046,TEATIME PEN CASE & PENS,9992,1169.1,0.9718749999999999,46
16047,POP ART PEN CASE & PENS,10612,1054.7,0.9583870967741934,31
16048,TEATIME ROUND PENCIL SHARPENER ,2001,331.76,0.5357894736842105,38
16049,TEATIME GEL PENS ASST,2665,478.4,0.40814814814814815,27
16050,TEATIME PENCIL WITH RUBBER,151,46.45,0.4,8
16051,TEATIME PENCIL W STAMP ASST,941,84.69,0.4325,4
16052,TEATIME PUSH DOWN RUBBER,371,167.7,0.568695652173913,23
16053,POPART COL BALLPOINT PEN ASST,4313,185.73,0.174,10
16054,POPART RECT PENCIL SHARPENER ASST,44,18.48,0.42,6
16119,FUNKY GIRL ADDRESS BOOK,273,130.71,1.0325,8
16192,PINK BALLET OPENING CUBE BOX ,3,12.899999999999999,4.3,1
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,438,287.01,1.637857142857143,38
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,5.2,0.65,3
16216,LETTER SHAPE PENCIL SHARPENER,825,137.64000000000001,0.28818181818181815,43
16218,CARTOON  PENCIL SHARPENERS,811,171.21,0.9075675675675675,37
16219,HOUSE SHAPE PENCIL SHARPENER,310,93.53,0.7279310344827586,29
16225,RATTLE SNAKE EGGS,714,605.83,1.8327536231884056,68
16235,RECYCLED PENCIL WITH RABBIT ERASER,2838,659.1,0.3036129032258065,151
16236,KITTY PENCIL ERASERS,1228,279.21999999999997,0.30777777777777776,130
16237,SLEEPING CAT ERASERS,5944,1289.1,0.2942394822006473,308
16238,PARTY TIME PENCIL ERASERS,1127,258.01,0.31017857142857147,111
16239,BALLERINA HEART DECORATION.,347,492.17,2.6557142857142857,21
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,901,263.08,1.2366666666666666,23
16259,PIECE OF CAMO STATIONERY SET,2093,439.53,0.21,24
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1139,278.46999999999997,0.27909090909090906,22
17003,BROCADE RING PURSE ,48384,8922.8,0.23948936170212767,231
17021,NAMASTE SWAGAT INCENSE,1931,496.5,0.29470588235294115,31
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3280,867.8399999999999,0.28536231884057967,69
17038,PORCELAIN BUDAH INCENSE HOLDER,1134,103.45,0.4268181818181818,22
17039,INLAID WOOD INCENSE HOLDER,3707,837.88,0.3774418604651163,43
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,0.04,1
17096,ASSORTED LAQUERED INCENSE HOLDERS,3696,661.5400000000001,0.3333962264150943,53
17174,ASSTD RASTA KEY-CHAINS,27,11.34,0.42,4
17178,FLAT PALM T-LIGHT HOLDER,133,156.65,1.234,24
17181,CIRCLE OF FRIENDS CANDLE HOLDER,353,642.66,3.771641791044776,65
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5539,652.97,0.2272340425531915,46
18010,ASSORTED FRAGRANCE BATH CONFETTI,64,30.16,0.5566666666666666,9
20615,BLUE POLKADOT PASSPORT COVER,23,73.63,3.1052380952380956,21
20615,BLUE SPOTTY PASSPORT COVER,316,570.85,2.5984269662921347,88
20616,CHERRY BLOSSOM PASSPORT COVER,93,218.35000000000002,2.56811320754717,53
20617,FIRST CLASS PASSPORT COVER ,406,802.26,2.526666666666667,63
20618,QUEEN OF THE SKIES PASSPORT COVER ,150,364.25,2.5837096774193546,62
20619,TROPICAL PASSPORT COVER ,321,578.98,2.519591836734694,98
20620,RED SPOTTY PASSPORT COVER,15,61.76,4.104285714285714,14
20621,ECONOMY PASSPORT COVER ,207,451.67,2.3584848484848484,33
20622,VIPPASSPORT COVER ,401,840.73,2.855925925925926,81
20652,BLUE POLKADOT LUGGAGE TAG ,20,30.049999999999997,1.3988235294117648,17
20652,BLUE SPOTTY LUGGAGE TAG ,1236,657.9,1.248148148148148,80
20653,CHERRY BLOSSOM LUGGAGE TAG,1933,438.61,1.3594,50
20654,FIRST CLASS LUGGAGE TAG ,246,311.82,1.369718309859155,71
20655,QUEEN OF SKIES LUGGAGE TAG,223,326.21,1.682551020408163,95
20657,TROPICAL LUGGAGE TAG,1809,621.81,1.1429545454545453,88
20658,RED RETROSPOT LUGGAGE TAG,180,259.02,1.598923076923077,62
20658,RED SPOTTY LUGGAGE TAG,1000,1385.3,1.6824489795918367,195
20659,ECONOMY LUGGAGE TAG,212,287.92,1.5149350649350648,77
20660,VIP LUGGAGE TAG ,71,88.75,1.25,26
20661,BLUE POLKADOT PURSE ,372,251.96,2.545238095238095,21
20661,BLUE SPOTTY PURSE ,483,589.9000000000001,2.9594366197183097,70
20662,FIRST CLASS HOLIDAY PURSE ,699,385.93000000000006,2.601612903225807,31
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,1051,308.17,2.483846153846154,26
20664,TROPICAL HOLIDAY PURSE ,25,73.75,2.95,13
20665,RED RETROSPOT PURSE ,169,547.0300000000001,3.9484000000000004,49
20665,RED SPOTTY PURSE ,736,2278.17,3.578525641025641,156
20666,ECONOMY HOLIDAY PURSE,881,370.92,2.8165517241379314,29
20667,CHERRY BLOSSOM PURSE,20,59.00000000000001,2.95,8
20668,DISCO BALL CHRISTMAS DECORATION,8865,1049.25,0.17133720930232557,170
20669,RED HEART LUGGAGE TAG,514,698.36,1.5394444444444444,125
20670,VIP HOLIDAY PURSE,680,334.81000000000006,2.749189189189189,37
20671,BLUE TEATIME PRINT BOWL ,786,1038.72,1.5767832167832168,143
20672,PINK TEATIME PRINT BOWL,138,201.0,1.75,36
20673,STRAWBERRIES PRINT BOWL,5,6.25,1.25,2
20674,GREEN POLKADOT BOWL,310,403.88,1.4923076923076921,50
20674,GREEN SPOTTY BOWL,1564,1963.44,1.4592056074766355,214
20675,BLUE POLKADOT BOWL,595,740.1,1.446388888888889,70
20675,BLUE SPOTTY BOWL,2849,3455.94,1.4349838187702264,308
20676,RED RETROSPOT BOWL,968,1244.16,1.5514285714285714,110
20676,RED SPOTTY BOWL,4630,5660.1900000000005,1.463561320754717,423
20677,PINK POLKADOT BOWL,648,839.87,1.6244444444444444,89
20677,PINK SPOTTY BOWL,3567,4348.93,1.5096883852691216,349
20679,EDWARDIAN PARASOL RED,4546,20628.05,6.4035696821515895,409
20680,PINK FLOWERS CHILDS UMBRELLA,6,19.5,3.25,4
20681,PINK POLKADOT CHILDRENS UMBRELLA,289,1059.97,4.133838383838384,99
20681,PINK SPOTTY CHILDS UMBRELLA,1000,3292.86,3.6892270531400966,206
20682,RED RETROSPOT CHILDRENS UMBRELLA,407,1426.41,4.004462809917355,120
20682,RED SPOTTY CHILDS UMBRELLA,1483,4791.04,3.6955823293172694,247
20683,RAIN GIRL CHILDS UMBRELLA,1,3.25,3.25,1
20684,STRAWBERRY DREAM CHILDS UMBRELLA,504,1663.06,3.6534246575342464,145
20685,DOOR MAT RED SPOT,2487,15889.75,7.8142615012106535,413
20685,DOORMAT RED RETROSPOT,1135,8544.27,8.484024896265561,241
20685,DOORMAT RED SPOT,1087,7765.42,8.001682692307693,206
20685,RED SPOTTY COIR DOORMAT,1174,7563.34,7.999951923076923,208
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,335,1136.77,3.679649122807018,114
20688,BEAUTY SPEED EXPRESSO CUPS,464,332.9,6.004545454545454,11
20689,RETRO SISTERS EXPRESSO CUPS,429,614.1,6.176585365853659,41
20692,FLORAL ELEPHANT SOFT TOY,908,3682.76,4.892127659574468,139
20693,FLORAL DINOSAUR GREEN,33,161.89000000000001,5.207777777777778,18
20694,FLORAL PINK MONSTER,123,434.79,4.0942105263157895,38
20695,FLORAL BLUE MONSTER,138,587.58,4.887758620689655,58
20696,FLORAL SOFT CAR TOY,99,402.37,4.7225,32
20697,LITTLE GREEN MONSTER SOFT TOY,23,53.25,2.475,12
20698,LITTLE PINK MONSTER SOFT TOY,30,71.1,2.480769230769231,13
20699,MOUSEY LONG LEGS SOFT TOY,203,559.78,3.2475471698113205,52
20700,GREEN CAT FLORAL CUSHION COVER ,348,790.05,5.996,50
20701,PINK CAT FLORAL CUSHION COVER ,328,620.52,4.6125,32
20702,PINK PADDED MOBILE,661,2778.41,4.294038461538461,205
20703,BLUE PADDED SOFT MOBILE,470,1989.22,4.260238095238096,168
20704,MR ROBOT SOFT TOY,145,673.72,7.010277777777778,36
20705,MRS ROBOT SOFT TOY,130,567.34,6.1196,25
20707,CRAZY DAISY HEART DECORATION,1151,779.0500000000001,1.6296226415094337,52
20711,JUMBO BAG TOYS ,7835,15168.38,2.3331180811808117,541
20712,JUMBO BAG WOODLAND ANIMALS,8163,15896.52,2.4577123050259964,570
20713,JUMBO BAG OWLS,9741,18331.829999999998,2.39355587808418,683
20714,POSY SHOPPER BAG,1580,649.8199999999999,0.9467857142857142,28
20715,LITTLE FLOWER SHOPPER BAG,400,424.0,1.06,1
20716,PARTY FOOD SHOPPER BAG,1138,1464.18,1.5072067039106147,177
20717,STRAWBERRY SHOPPER BAG,3482,4272.75,1.5151388888888886,357
20718,RED RETROSPOT SHOPPER BAG,1654,2362.62,1.663712121212121,132
20718,RED SPOTTY SHOPPER BAG,7058,8763.09,1.5206551059730251,517
20719,WOODLAND CHARLOTTE BAG,11612,11505.47,1.0917624020887728,764
20721,OWLS CHARLOTTE BAG,1,0.85,0.85,1
20723,STRAWBERRY CHARLOTTE BAG,8648,8092.07,1.073958944281525,678
20724,RED RETROSPOT CHARLOTTE BAG,3150,3553.3999999999996,1.10140625,253
20724,RED SPOTTY CHARLOTTE BAG,11536,10231.44,1.0475923566878982,781
20725,LUNCH BAG RED RETROSPOT,3435,6365.72,2.146085626911315,321
20725,LUNCH BAG RED SPOTTY,17885,29773.27,1.9617790414297318,1218
20726,LUNCH BAG WOODLAND,12394,20599.95,2.0401465968586385,943
20727,LUNCH BAG  BLACK SKULL.,14847,23936.93,1.933064091308165,1115
20728,LUNCH BAG CARS BLUE,13052,20996.16,1.8701569037656902,944
20729,RED SPOTTY CANDY BAG,5262,1778.12,1.4020661157024794,121
20730,STRAWBERRY CANDY BAG,2218,1011.7,1.0862745098039215,102
20731,POSY CANDY BAG,4051,1144.21,1.4853448275862067,58
20733,GOLD MINI TAPE MEASURE ,723,521.34,0.8637,100
20734,SILVER MINI TAPE MEASURE ,1441,1214.46,1.1895744680851064,93
20735,BLACK MINI TAPE MEASURE ,922,963.2299999999999,1.2900980392156862,102
20736,PINK MINI TAPE MEASURE ,290,233.5,0.8431578947368421,19
20737,RED MINI TAPE MEASURE ,1,1.7,1.7,1
20738,GREEN MINI TAPE MEASURE ,1610,1301.72,0.9545945945945946,74
20739,*USB Office Glitter Lamp,1,8.65,8.65,1
20747,PICCADILLY TEA SET,683,9224.92,15.723703703703702,108
20748,KENSINGTON COFFEE SET,1547,13566.810000000001,12.151699346405229,153
20749,ASSORTED COLOUR MINI CASES,1381,10152.59,8.100245098039215,406
20750, RED/WHITE DOT MINI CASES,491,3696.59,8.196258503401362,145
20750,RED RETROSPOT MINI CASES,403,3139.98,8.538639455782313,146
20750,RED/WHITE DOT MINI CASES,1131,8051.57,7.885097276264592,256
20751,FUNKY WASHING UP GLOVES ASSORTED,1904,4061.5600000000004,2.2915686274509803,287
20752,BLUE POLKADOT WASHING UP GLOVES,154,363.49,2.547575757575758,66
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,965,1655.74,2.31474358974359,156
20753,RETRO PINK SPOT WASHING UP GLOVES,218,509.00000000000006,2.6607142857142856,56
20754,RETRO RED SPOTTY WASHING UP GLOVES,3139,6257.39,2.476270783847981,420
20754,RETROSPOT RED WASHING UP GLOVES,561,1258.3000000000002,2.5248366013071895,151
20755,BLUE PAISLEY POCKET BOOK,4855,833.78,0.8501538461538461,65
20756,GREEN FERN POCKET BOOK,5665,798.01,0.7830952380952381,42
20757,RED DAISY POCKET BOOK ,5202,765.11,0.7926530612244898,48
20758,ABSTRACT CIRCLES POCKET BOOK,5279,829.3199999999999,0.7952727272727274,55
20759,CHRYSANTHEMUM POCKET BOOK ,5718,840.98,0.7415555555555555,45
20760,GARDEN PATH POCKET BOOK,5485,1258.41,0.7741935483870968,62
20761,BLUE PAISLEY SKETCHBOOK,346,954.23,3.760898876404495,88
20762,GREEN FERN SKETCHBOOK ,360,961.45,3.713604651162791,86
20763,DAISY SKETCHBOOK ,196,509.19,3.7851020408163265,49
20764,ABSTRACT CIRCLES SKETCHBOOK ,548,1550.2,3.85155737704918,122
20765,CHRYSANTHEMUM SKETCHBOOK ,346,871.51,3.6724731182795702,92
20766,GARDEN PATH SKETCHBOOK,401,1077.52,3.7011538461538462,103
20767,BLUE PAISLEY JOURNAL ,564,1090.65,2.529313725490196,102
20768,GREEN FERN JOURNAL ,594,1103.27,2.505208333333333,96
20769,DAISY JOURNAL ,362,601.45,2.4299999999999997,47
20770,ABSTRACT CIRCLE JOURNAL ,871,1768.56,2.462919708029197,136
20771,CHRYSANTHEMUM  JOURNAL,507,942.1999999999999,2.488921568627451,102
20772,GARDEN PATH JOURNAL,727,1242.76,2.4072277227722774,100
20773,BLUE PAISLEY NOTEBOOK,3300,899.63,1.758529411764706,99
20774,GREEN FERN NOTEBOOK,3406,834.44,1.7887499999999998,79
20775,DAISY NOTEBOOK ,3472,698.01,1.7972549019607842,51
20776,ABSTRACT CIRCLES NOTEBOOK,3258,832.66,1.7828235294117647,84
20777,CHRYSANTHEMUM NOTEBOOK,3500,998.48,1.875894736842105,94
20778,GARDEN PATH NOTEBOOK ,3600,926.2099999999999,1.8191764705882352,84
20780,BLACK EAR MUFF HEADPHONES,200,1104.55,6.5785526315789475,74
20781,GOLD EAR MUFF HEADPHONES,71,384.14,6.532105263157895,38
20782,CAMOUFLAGE EAR MUFF HEADPHONES,116,726.38,6.601428571428571,63
20783,HEART EAR MUFF HEADPHONES,166,1051.4,7.508571428571429,56
20784,RED RETRO BAR STOOL,107,3570.87,34.55820512820513,39
20785,FUSCHIA RETRO BAR STOOL,89,3149.05,36.18030303030303,32
20786,BLACK RETRO BAR STOOL,100,3533.9,35.75939393939394,32
20787,BLUE RETRO BAR STOOL,74,2535.1,35.78529411764706,31
20791,BLUE TILED SET OF 3 DRAWERS,5,63.75,12.75,1
20793,BLUE TILED TRAY,273,464.5,9.420555555555556,18
20794,BLUE  TILE HOOK,114,313.28999999999996,3.348636363636363,22
20795,LARGE BLUE PROVENCAL CERAMIC BALL,86,195.65,3.1422222222222222,18
20796,SMALL BLUE PROVENCAL CERAMIC BALL,37,78.22,2.7076923076923074,13
20798,CLEAR MILKSHAKE GLASS,529,1261.95,3.142926829268293,80
20799,PINK MILKSHAKE GLASS,200,355.33,3.1257692307692304,26
20799,damaged,1,0.0,0.0,1
20800,LARGE GLASS SUNDAE DISH CLEAR,1005,303.96,3.618,5
20801,LARGE PINK GLASS SUNDAE DISH,81,274.32,3.7311764705882347,31
20802,SMALL GLASS SUNDAE DISH CLEAR,328,645.5799999999999,2.2925,56
20803,SMALL PINK GLASS SUNDAE DISH,215,414.87999999999994,2.246304347826087,46
20804,GLASS CHICKEN BUTTER DISH,325,579.31,2.6788524590163934,61
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,5,12.75,2.55,3
