StockCode,Description,Sales Amount
22423,REGENCY CAKESTAND 3 TIER,169912.75999999998
85123A,WHITE HANGING HEART T-LIGHT HOLDER,158305.72
84879,ASSORTED COLOUR BIRD ORNAMENT,72890.19
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,58127.3
85099B,JUMBO BAG RED RETROSPOT,54368.82
47566,PARTY BUNTING,49664.12
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,47954.49
15056N,EDWARDIAN PARASOL NATURAL,36251.1
21621,VINTAGE UNION JACK BUNTING,36023.71
85099F,JUMBO BAG STRAWBERRY,35887.14
21232,STRAWBERRY CERAMIC TRINKET BOX,34411.68
85099C,JUMBO  BAG BAROQUE BLACK WHITE,32055.82
15056BL,EDWARDIAN PARASOL BLACK,31999.350000000002
21931,JUMBO STORAGE BAG SUKI,31493.71
22189,CREAM HEART CARD HOLDER,31111.56
79321,CHILLI LIGHTS,31061.2
21754,HOME BUILDING BLOCK WORD,30851.27
22114,HOT WATER BOTTLE TEA AND SYMPATHY,30388.910000000003
20725,LUNCH BAG RED SPOTTY,29773.27
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,29572.25
21623,VINTAGE UNION JACK MEMOBOARD,29102.69
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,28828.0
20914,SET/5 RED SPOTTY LID GLASS BOWLS,28734.12
21137,BLACK RECORD COVER FRAME,28662.34
21843,RED RETROSPOT CAKE STAND,28640.239999999998
21733,RED HANGING HEART T-LIGHT HOLDER,28242.68
22112,CHOCOLATE HOT WATER BOTTLE,27817.74
84078A,SET/4 WHITE RETRO STORAGE CUBES ,27558.210000000003
22111,SCOTTIE DOG HOT WATER BOTTLE,27481.47
21929,JUMBO BAG PINK VINTAGE PAISLEY,27121.76
22197,SMALL POPCORN HOLDER,27022.23
82484,WOOD BLACK BOARD ANT WHITE FINISH,26811.8
22386,JUMBO BAG PINK WITH WHITE SPOTS,26242.66
21928,JUMBO BAG SCANDINAVIAN PAISLEY,25878.77
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,25868.47
22470,HEART OF WICKER LARGE,25673.910000000003
21731,RED TOADSTOOL LED NIGHT LIGHT,25588.559999999998
84029E,RED WOOLLY HOTTIE WHITE HEART.,25454.100000000002
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.329999999998
84946,ANTIQUE SILVER TEA GLASS ETCHED,25305.09
82494L,WOODEN FRAME ANTIQUE WHITE ,25067.61
85099B,JUMBO BAG RED WHITE SPOTTY ,25043.62
22090,PAPER BUNTING RETRO SPOTS,24933.940000000002
48138,DOOR MAT UNION FLAG,24770.81
21212,PACK OF 72 RETRO SPOT CAKE CASES,24054.43
20727,LUNCH BAG  BLACK SKULL.,23936.93
21755,LOVE BUILDING BLOCK WORD,22920.530000000002
21181,PLEASE ONE PERSON METAL SIGN,21725.370000000003
22138,BAKING SET 9 PIECE RETROSPOT ,21696.74
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,21301.04
22083,PAPER CHAIN KIT RETRO SPOT,21151.79
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,21065.19
20728,LUNCH BAG CARS BLUE,20996.16
22188,BLACK HEART CARD HOLDER,20713.83
22383,LUNCH BAG SUKI  DESIGN ,20688.89
82486,WOOD S/3 CABINET ANT WHITE FINISH,20660.88
20679,EDWARDIAN PARASOL RED,20628.05
20726,LUNCH BAG WOODLAND,20599.95
22457,NATURAL SLATE HEART CHALKBOARD ,20431.640000000003
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,20383.86
AMAZONFEE,AMAZON FEE,20248.04
22178,VICTORIAN GLASS HANGING T-LIGHT,19958.77
22379,RECYCLING BAG RETROSPOT ,19755.17
72741,GRAND CHOCOLATECANDLE,19624.88
82482,WOODEN PICTURE FRAME WHITE FINISH,19338.97
22469,HEART OF WICKER SMALL,18993.559999999998
22158,3 HEARTS HANGING DECORATION RUSTIC,18399.9
21915,RED  HARMONICA IN BOX ,18385.97
20713,JUMBO BAG OWLS,18331.829999999998
22622,BOX OF VINTAGE ALPHABET BLOCKS,18212.73
84991,60 TEATIME FAIRY CAKE CASES,18151.4
21622,VINTAGE UNION JACK CUSHION COVER,18097.85
37449,CERAMIC CAKE STAND + HANGING CAKES,17555.32
21166,COOK WITH WINE METAL SIGN ,17553.77
47590B,PINK HAPPY BIRTHDAY BUNTING,17482.81
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66
48138,DOORMAT UNION FLAG,17324.79
21175,GIN + TONIC DIET METAL SIGN,17252.260000000002
84836,ZINC METAL HEART DECORATION,17145.1
48194,DOORMAT HEARTS,17129.61
21231,SWEETHEART CERAMIC TRINKET BOX,16882.100000000002
85066,CREAM SWEETHEART MINI CHEST,16579.45
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,16429.78
21258,VICTORIAN SEWING BOX LARGE,16415.04
21843,RETRO SPOT CAKE STAND,16354.009999999998
22752,SET 7 BABUSHKA NESTING BOXES,16308.78
71459,HANGING JAM JAR T-LIGHT HOLDER,16231.619999999999
21977,PACK OF 60 PINK PAISLEY CAKE CASES,16187.310000000001
84406B,CREAM CUPID HEARTS COAT HANGER,16163.48
85152,HAND OVER THE CHOCOLATE   SIGN ,16047.830000000002
22866,HAND WARMER SCOTTY DOG DESIGN,15957.12
20972,PINK CREAM FELT CRAFT TRINKET BOX ,15952.53
20712,JUMBO BAG WOODLAND ANIMALS,15896.52
20685,DOOR MAT RED SPOT,15889.75
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15779.09
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15759.53
22385,JUMBO BAG SPACEBOY DESIGN,15663.61
22865,HAND WARMER OWL DESIGN,15608.78
21481,FAWN BLUE HOT WATER BOTTLE,15481.310000000001
21314,SMALL GLASS HEART TRINKET POT,15454.87
22867,HAND WARMER BIRD DESIGN,15422.430000000002
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,15400.28
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,15324.35
22585,PACK OF 6 BIRDY GIFT TAGS,15299.78
22382,LUNCH BAG SPACEBOY DESIGN ,15263.68
20711,JUMBO BAG TOYS ,15168.38
35004C,SET OF 3 COLOURED  FLYING DUCKS,15139.130000000001
20971,PINK BLUE FELT CRAFT TRINKET BOX,15138.11
22061,LARGE CAKE STAND  HANGING STRAWBERY,15042.61
22077,6 RIBBONS RUSTIC CHARM,14955.419999999998
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,14899.6
82483,WOOD 2 DRAWER CABINET WHITE FINISH,14890.52
47566B,TEA TIME PARTY BUNTING,14679.18
21217,RED SPOTTY ROUND CAKE TINS,14646.039999999999
15036,ASSORTED COLOURS SILK FAN,14471.710000000001
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,14438.97
22149,FELTCRAFT 6 FLOWER FRIENDS,14426.78
84970S,HANGING HEART ZINC T-LIGHT HOLDER,14407.07
22384,LUNCH BAG PINK RETROSPOT,14391.72
22294,HEART FILIGREE DOVE  SMALL,14156.94
47590A,BLUE HAPPY BIRTHDAY BUNTING,14051.130000000001
21479,WHITE SKULL HOT WATER BOTTLE ,13978.48
35400,WOODEN BOX ADVENT CALENDAR ,13909.6
21930,JUMBO STORAGE BAG SKULLS,13882.66
21527,RED RETROSPOT TRADITIONAL TEAPOT ,13830.12
79323P,PINK CHERRY LIGHTS,13760.93
22087,PAPER BUNTING WHITE LACE,13634.54
20748,KENSINGTON COFFEE SET,13566.810000000001
22355,CHARLOTTE BAG SUKI DESIGN,13534.25
21791,VINTAGE HEADS AND TAILS CARD GAME ,13422.58
82600,NO SINGING METAL SIGN,13335.580000000002
21213,PACK OF 72 SKULL CAKE CASES,13247.16
48187,DOOR MAT NEW ENGLAND,13201.61
22444,GROW YOUR OWN PLANT IN A CAN ,13123.28
21523,DOORMAT FANCY FONT HOME SWEET HOME,12983.39
22629,SPACEBOY LUNCH BOX ,12972.679999999998
22551,PLASTERS IN TIN SPACEBOY,12818.64
22556,PLASTERS IN TIN CIRCUS PARADE ,12589.369999999999
22837,HOT WATER BOTTLE BABUSHKA ,12503.44
22297,HEART IVORY TRELLIS SMALL,12466.69
22605,WOODEN CROQUET GARDEN SET,12454.81
22507,MEMO BOARD RETROSPOT  DESIGN,12433.210000000001
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,12424.16
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,12363.970000000001
22456,NATURAL SLATE CHALKBOARD LARGE ,12324.56
22630,DOLLY GIRL LUNCH BOX,12313.66
85042,ANTIQUE LILY FAIRY LIGHTS,12234.56
79323W, WHITE CHERRY LIGHTS,12198.66
21080,SET/20 RED SPOTTY PAPER NAPKINS ,12185.39
84978,HANGING HEART JAR T-LIGHT HOLDER,12176.04
84949,SILVER HANGING T-LIGHT HOLDER,11856.72
15044A,PINK PAPER PARASOL ,11771.83
21908,CHOCOLATE THIS WAY METAL SIGN,11727.29
21485,RED SPOT HEART HOT WATER BOTTLE,11670.66
21164,HOME SWEET HOME METAL SIGN ,11656.320000000002
22624,IVORY KITCHEN SCALES,11631.460000000001
21790,VINTAGE SNAP CARDS,11553.289999999999
48185,DOOR MAT FAIRY CAKE,11532.31
20719,WOODLAND CHARLOTTE BAG,11505.47
22501,PICNIC BASKET WICKER LARGE,11466.33
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,11383.97
82583,HOT BATHS METAL SIGN,11378.35
22492,MINI PAINT SET VINTAGE ,11300.17
85150,LADIES & GENTLEMEN METAL SIGN,11266.949999999999
71053,WHITE METAL LANTERN,11235.54
22505,MEMO BOARD COTTAGE DESIGN,11233.66
22296,HEART IVORY TRELLIS LARGE,11012.789999999999
21218,RED SPOTTY BISCUIT TIN,10963.07
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,10949.4
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,10947.97
84992,72 SWEETHEART FAIRY CAKE CASES,10907.43
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,10868.59
22569,FELTCRAFT CUSHION BUTTERFLY,10761.630000000001
84050,PINK HEART SHAPE EGG FRYING PAN,10665.64
48185,DOORMAT FAIRY CAKE,10645.77
21524,DOOR MAT SPOTTY HOME SWEET HOME,10563.06
22835,HOT WATER BOTTLE I AM SO POORLY,10563.02
48111,DOOR MAT 3 SMILEY CATS,10532.27
22607,WOODEN ROUNDERS GARDEN SET ,10498.48
22236,CAKE STAND 3 TIER MAGIC GARDEN,10485.07
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,10469.85
21484,CHICK GREY HOT WATER BOTTLE,10454.18
21174,POTTERING IN THE SHED METAL SIGN,10432.949999999999
22617,BAKING SET SPACEBOY DESIGN,10393.09
22659,LUNCH BOX I LOVE LONDON,10358.97
22084,PAPER CHAIN KIT EMPIRE,10354.460000000001
22570,FELTCRAFT CUSHION RABBIT,10337.32
48194,DOOR MAT HEARTS,10298.44
22606,WOODEN SKITTLES GARDEN SET,10275.38
22113,GREY HEART HOT WATER BOTTLE,10268.19
20724,RED SPOTTY CHARLOTTE BAG,10231.44
20749,ASSORTED COLOUR MINI CASES,10152.59
22467,GUMBALL COAT RACK,10121.13
22502,PICNIC BASKET WICKER SMALL,10057.7
22557,PLASTERS IN TIN VINTAGE PAISLEY ,10035.72
22198,LARGE POPCORN HOLDER ,10013.71
22561,WOODEN SCHOOL COLOURING SET,9998.97
22554,PLASTERS IN TIN WOODLAND ANIMALS,9948.289999999999
21136,PAINTED METAL PEARS ASSORTED,9868.01
85232B,SET/3 RUSSIAN DOLL STACKING TINS,9867.140000000001
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,9852.119999999999
48184,DOOR MAT ENGLISH ROSE ,9816.33
22625,RED KITCHEN SCALES,9769.03
22147,FELTCRAFT BUTTERFLY HEARTS,9737.71
48187,DOORMAT NEW ENGLAND,9716.85
21488,RED WHITE SCARF  HOT WATER BOTTLE,9700.060000000001
22635,CHILDS BREAKFAST SET DOLLY GIRL ,9681.66
22169,FAMILY ALBUM WHITE PICTURE FRAME,9585.04
85099B,RED RETROSPOT JUMBO BAG ,9563.89
22381,TOY TIDY PINK RETROSPOT  ,9529.53
22633,HAND WARMER UNION JACK,9497.410000000002
22295,HEART FILIGREE DOVE LARGE,9494.23
22699,ROSES REGENCY TEACUP AND SAUCER ,9437.52
21624,VINTAGE UNION JACK DOORSTOP,9380.99
21704,BAG 250g SWIRLY MARBLES,9304.07
21485,RETROSPOT HEART HOT WATER BOTTLE,9250.710000000001
21975,PACK OF 60 DINOSAUR CAKE CASES,9227.74
20747,PICCADILLY TEA SET,9224.92
21877,HOME SWEET HOME MUG,9151.19
22271,FELTCRAFT DOLL ROSIE,9148.95
22499,WOODEN UNION JACK BUNTING,9106.49
21098,CHRISTMAS TOILET ROLL,9095.45
21777,RECIPE BOX WITH METAL HEART,9075.51
22634,CHILDS BREAKFAST SET SPACEBOY ,9062.199999999999
22555,PLASTERS IN TIN STRONGMAN,9041.189999999999
21735,TWO DOOR CURIO CABINET,8925.699999999999
17003,BROCADE RING PURSE ,8922.8
22424,ENAMEL BREAD BIN CREAM,8909.38
22139,RETROSPOT TEA SET CERAMIC 11 PC ,8901.460000000001
22413,METAL SIGN TAKE IT OR LEAVE IT ,8841.85
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8825.77
22941,CHRISTMAS LIGHTS 10 REINDEER,8823.9
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,8823.06
21094,SET/6 RED SPOTTY PAPER PLATES,8789.859999999999
21889,WOODEN BOX OF DOMINOES,8765.28
20718,RED SPOTTY SHOPPER BAG,8763.09
22636,CHILDS BREAKFAST SET CIRCUS PARADE,8752.17
84839,SWEETHEART KEY CABINET,8747.05
21390,FILIGRIS HEART WITH BUTTERFLY,8742.34
22560,TRADITIONAL MODELLING CLAY,8698.23
21906,PHARMACIE FIRST AID TIN,8672.74
22487,WHITE WOOD GARDEN PLANT LADDER,8640.119999999999
22652,TRAVEL SEWING KIT,8625.16
22568,FELTCRAFT CUSHION OWL,8608.86
22130,PARTY CONE CHRISTMAS DECORATION ,8579.49
20685,DOORMAT RED RETROSPOT,8544.27
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,8525.449999999999
79323LP,LIGHT PINK CHERRY LIGHTS,8481.19
22632,HAND WARMER RED RETROSPOT,8475.44
21524,DOORMAT SPOTTY HOME SWEET HOME,8451.76
