Customer ID,Recency,Frequency,Monetary,Cluster,KMeans_Segment
12346.0,165,11,372.86,1,Lost
12347.0,3,2,1323.32,0,At Risk
12348.0,74,1,222.16,0,At Risk
12349.0,43,3,2671.14,0,At Risk
12351.0,11,1,300.93,0,At Risk
12352.0,11,2,343.8,0,At Risk
12353.0,44,1,317.76,0,At Risk
12355.0,203,1,488.21000000000004,1,Lost
12356.0,16,3,3560.3,0,At Risk
12357.0,24,2,12079.99,0,At Risk
12358.0,11,3,2719.01,0,At Risk
12359.0,61,6,2563.36,0,At Risk
12360.0,15,5,1590.83,0,At Risk
12361.0,98,3,321.35,0,At Risk
12362.0,374,1,130.0,1,Lost
12366.0,269,1,500.24,1,Lost
12368.0,264,1,917.6999999999999,1,Lost
12369.0,49,3,1791.15,0,At Risk
12370.0,260,3,774.62,1,Lost
12371.0,45,3,2179.42,0,At Risk
12373.0,260,2,763.0500000000001,1,Lost
12374.0,57,3,2246.29,0,At Risk
12376.0,25,2,503.15,0,At Risk
12377.0,17,2,1798.2,0,At Risk
12378.0,198,1,1407.7,1,Lost
12379.0,58,2,767.98,0,At Risk
12380.0,101,7,6951.49,0,At Risk
12385.0,15,1,1938.4,0,At Risk
12386.0,2,1,258.9,0,At Risk
12387.0,51,1,143.94,0,At Risk
12388.0,81,2,1120.45,0,At Risk
12389.0,38,3,1433.33,0,At Risk
12391.0,100,5,2285.18,0,At Risk
12392.0,227,1,234.75000000000003,1,Lost
12393.0,18,2,816.85,0,At Risk
12395.0,7,4,2048.64,0,At Risk
12396.0,310,1,931.43,1,Lost
12399.0,21,3,853.65,0,At Risk
12400.0,50,1,205.25,0,At Risk
12402.0,28,5,1031.3,0,At Risk
12403.0,157,1,591.6600000000001,1,Lost
12404.0,318,1,63.24,1,Lost
12406.0,35,3,2975.06,0,At Risk
12408.0,21,3,1452.22,0,At Risk
12409.0,56,4,12346.619999999999,0,At Risk
12410.0,138,1,320.38,0,At Risk
12411.0,45,1,346.9,0,At Risk
12412.0,38,3,1370.05,0,At Risk
12413.0,38,1,241.35,0,At Risk
12414.0,99,3,390.0,0,At Risk
12415.0,11,7,19543.84,0,At Risk
12416.0,292,1,202.56,1,Lost
12417.0,46,11,3148.31,0,At Risk
12418.0,49,3,1352.62,0,At Risk
12419.0,21,2,503.01,0,At Risk
12421.0,51,2,291.56,0,At Risk
12422.0,30,14,4428.24,0,At Risk
12423.0,23,2,763.08,0,At Risk
12424.0,58,2,1579.07,0,At Risk
12425.0,84,1,964.21,0,At Risk
12426.0,298,1,762.48,1,Lost
12427.0,7,1,303.5,0,At Risk
12429.0,1,5,3735.51,0,At Risk
12431.0,9,13,4370.52,0,At Risk
12433.0,2,5,7205.39,0,At Risk
12434.0,17,1,297.29,0,At Risk
12435.0,32,4,6096.04,0,At Risk
12437.0,31,21,7731.99,0,At Risk
12439.0,318,2,1142.88,1,Lost
12440.0,98,2,859.2,0,At Risk
12441.0,2,1,173.55,0,At Risk
12443.0,368,1,485.31,1,Lost
12445.0,56,1,301.58000000000004,0,At Risk
12449.0,46,2,768.6,0,At Risk
12450.0,35,3,490.32,0,At Risk
12451.0,99,3,3634.36,0,At Risk
12454.0,31,4,13151.44,0,At Risk
12455.0,81,4,3413.09,0,At Risk
12457.0,71,1,632.68,0,At Risk
12458.0,63,2,830.09,0,At Risk
12459.0,241,1,454.36,1,Lost
12460.0,92,1,326.65,0,At Risk
12466.0,318,1,56.73,1,Lost
12467.0,59,1,132.8,0,At Risk
12468.0,162,3,2941.2,1,Lost
12469.0,158,2,3070.54,1,Lost
12470.0,325,1,211.95,1,Lost
12471.0,10,49,20129.54,3,Loyal Customers
12472.0,5,13,11308.48,0,At Risk
12474.0,14,13,5048.66,0,At Risk
12475.0,45,1,426.26,0,At Risk
12476.0,32,12,7267.49,0,At Risk
12477.0,35,3,7056.63,0,At Risk
12480.0,35,3,2183.2200000000003,0,At Risk
12481.0,1,6,6765.07,0,At Risk
