CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Spend_Rank
18102,0,89,349164.35,5,5,5,15,1
14646,9,78,248396.5,5,5,5,15,2
14156,6,102,196549.74,5,5,5,15,3
14911,0,205,152121.22,5,5,5,15,4
13694,8,94,131443.19,5,5,5,15,5
17511,2,31,84541.17,5,5,5,15,6
15061,2,86,83284.38,5,5,5,15,7
16684,14,27,80489.21,5,5,5,15,8
16754,7,29,65500.07,5,5,5,15,9
17949,6,74,60117.6,5,5,5,15,10
13089,3,109,57885.45,5,5,5,15,11
15311,0,121,55942.74,5,5,5,15,12
17450,2,7,52422.299999999996,5,5,5,15,13
17850,7,155,51208.87,5,5,5,15,14
13093,8,48,47111.18,5,5,5,15,16
16029,7,47,41184.3,5,5,5,15,17
15838,2,16,40519.92,5,5,5,15,18
14298,10,38,39667.19,5,5,5,15,19
13798,7,54,38683.02,5,5,5,15,20
15769,6,21,32451.6,5,5,5,15,22
13081,6,19,30867.77,5,5,5,15,23
13777,1,37,30501.260000000002,5,5,5,15,24
17841,0,91,29562.02,5,5,5,15,25
16422,4,59,28904.670000000002,5,5,5,15,27
14680,6,43,28615.27,5,5,5,15,28
13881,10,23,28019.58,5,5,5,15,29
17389,9,27,25381.65,5,5,5,15,31
14031,0,27,23632.72,5,5,5,15,33
13408,6,46,23616.422,5,5,5,15,34
16779,1,32,22554.22,5,5,5,15,36
12748,0,144,22457.9,5,5,5,15,37
13802,9,16,21659.69,5,5,5,15,39
12709,1,20,21107.94,5,5,5,15,40
17677,1,28,20329.68,5,5,5,15,41
17920,3,39,20137.24,5,5,5,15,42
12471,9,49,20129.54,5,5,5,15,43
16013,6,39,20009.84,5,5,5,15,44
15039,3,47,19960.3,5,5,5,15,45
17381,3,12,19726.76,5,5,5,15,46
12415,10,7,19543.84,5,5,5,15,47
12921,1,39,19333.95,5,5,5,15,49
14527,0,69,19257.08,5,5,5,15,50
14606,1,102,18482.1,5,5,5,15,51
13767,4,39,18320.170000000002,5,5,5,15,52
17675,2,40,17885.32,5,5,5,15,53
15856,0,26,17703.63,5,5,5,15,54
16210,3,19,17403.21,5,5,5,15,56
12681,2,24,17080.74,5,5,5,15,57
13078,1,32,16904.510000000002,5,5,5,15,58
12678,10,9,16652.72,5,5,5,15,60
17865,10,26,15785.87,5,5,5,15,62
