StockCode,Description,Total_Quantity,Total_Revenue,Average_Price,Transactions
85123A,WHITE HANGING HEART T-LIGHT HOLDER,58387,158305.72,3.0475888625592416,3282
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,55058,11383.97,0.24304950495049504,503
17003,BROCADE RING PURSE ,48384,8922.8,0.23948936170212767,231
21212,PACK OF 72 RETRO SPOT CAKE CASES,46728,24054.43,0.6659163763066203,1410
84879,ASSORTED COLOUR BIRD ORNAMENT,45236,72890.19,1.9944289693593316,1413
84991,60 TEATIME FAIRY CAKE CASES,36348,18151.4,0.6518148688046648,1336
21977,PACK OF 60 PINK PAISLEY CAKE CASES,31805,16187.310000000001,0.6906377551020408,1155
85099B,JUMBO BAG RED RETROSPOT,30329,54368.82,2.1681942215088283,1223
22197,SMALL POPCORN HOLDER,29809,27022.23,1.0135209713024282,887
21232,STRAWBERRY CERAMIC TRINKET BOX,27060,34411.68,1.465080405002978,1640
