StockCode,Description,Total_Quantity,Total_Revenue,Average_Price,Transactions
M,Manual,2765,262577.36,472.7917604355717,513
22423,REGENCY CAKESTAND 3 TIER,13691,169912.75999999998,14.364833005893908,2020
85123A,WHITE HANGING HEART T-LIGHT HOLDER,58387,158305.72,3.0475888625592416,3282
DOT,DOTCOM POSTAGE,733,116408.71,158.8113369713506,733
84879,ASSORTED COLOUR BIRD ORNAMENT,45236,72890.19,1.9944289693593316,1413
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,17205,58127.3,3.3671646341463415,957
85099B,JUMBO BAG RED RETROSPOT,30329,54368.82,2.1681942215088283,1223
47566,PARTY BUNTING,10092,49664.12,5.604830261881669,1014
POST,POSTAGE,2310,49477.54,26.655191040843217,759
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,23037,47954.49,3.2676815642458097,347
